algoritmo;problema;rapidez;Tiempo nanosegundos;;;;
A;50;0,04;40500;;;;
A;100;0,19;191400;;;;
A;1000;4,29;4292000;;;;
A;10000;88,24;88240200;;;;
A;50000;1357,71;1357714300;;;;
A;100000;11,31;11311100;;;;
B;50;0,02;17600;;;;
B;100;0,06;56900;;;;
B;1000;1,07;1070700;;;;
B;10000;3,58;3575400;;;;
B;50000;11,73;11725600;;;;
B;100000;19,96;19963600;;;;
C;50;0,06;57700;;;;
C;100;0,72;721400;;;;
C;1000;4,42;4423800;;;;
C;10000;4,59;4587900;;;;
C;50000;11,31;11311100;;;;
C;100000;13,24;13239000;;;;
